Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-04-27 17:58:54,false,"Sydney Running","5.27","330","00:24:03","152","181","158","173","4:34","3:36","15","60","1.38","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:19.50","6","0.0","00:23:53","00:26:18","-89","-32"
Pool Swimming,2021-04-25 07:31:14,false,"Pool Swimming","1,000","200","00:23:37","--","--","--","--","2:02","1:33","--","--","0.00","0.0","0.0","0.0","0.0","0.0","487","43","24","0:00","0.0","0:00","No","00:02.11","14","0.0","00:20:16","00:23:49","--","--"
Running,2021-04-23 06:42:23,false,"Sydney Running","10.60","612","00:50:28","145","175","158","174","4:46","3:56","62","88","1.33","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","03:00.80","11","0.0","00:49:57","01:10:38","47","122"
Running,2021-04-19 17:08:54,false,"Sydney Running","7.40","456","00:34:52","149","170","154","182","4:42","3:09","41","81","1.36","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:58.43","8","0.0","00:34:21","00:41:42","147","213"
Running,2021-04-13 17:45:28,false,"Sydney Running","5.64","320","00:26:39","142","166","156","169","4:44","4:07","36","94","1.36","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","02:59.15","6","0.0","00:26:35","00:33:10","-239","-177"
Running,2021-04-08 06:24:40,false,"Sydney Running","5.02","323","00:23:52","154","172","159","172","4:45","3:51","30","91","1.32","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:04.30","6","0.0","00:23:47","00:25:30","-16","59"
Running,2021-04-07 06:48:22,false,"Sydney Running","9.29","585","00:43:37","155","180","159","171","4:42","3:54","133","175","1.34","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:14.59","10","0.0","00:43:28","00:51:46","-36","108"
Running,2021-04-05 15:37:25,false,"Sydney Running","8.08","522","00:38:59","155","177","156","168","4:50","4:13","153","128","1.33","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:20.84","9","0.0","00:38:50","00:46:15","35","104"
Running,2021-04-03 07:14:34,false,"Sydney Running","18.51","1,102","01:30:40","153","180","159","176","4:54","3:33","189","267","1.29","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","02:30.76","19","0.0","01:30:31","01:53:10","-69","103"
Running,2021-04-01 18:17:35,false,"Sydney Running","6.26","381","00:27:56","157","181","158","173","4:28","3:44","38","84","1.42","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:12.02","7","0.0","00:27:51","00:32:13","39","105"
Running,2021-03-29 18:20:21,false,"Sydney Running","5.15","313","00:23:58","150","164","155","167","4:39","4:18","25","87","1.38","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:40.99","6","0.0","00:23:55","00:26:17","14","93"
Running,2021-03-27 07:28:06,false,"Sydney Running","16.23","1,056","01:17:13","161","187","158","171","4:45","3:46","151","196","1.33","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:03.67","17","0.0","01:17:02","01:28:01","-58","107"
Running,2021-03-24 18:06:37,false,"Sydney Running","8.01","517","00:38:46","156","182","156","170","4:50","4:05","104","126","1.32","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:02.73","9","0.0","00:38:38","00:54:26","-10","114"
Running,2021-03-23 18:17:16,false,"Sydney Running","5.01","308","00:22:54","155","180","158","169","4:34","3:54","37","85","1.39","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:02.31","6","0.0","00:22:49","00:26:28","-20","51"
Running,2021-03-20 08:21:44,false,"Sydney Running","9.10","566","00:43:21","154","185","156","188","4:46","3:56","203","163","1.35","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:26.100","10","0.0","00:40:14","00:59:47","-132","-27"
Running,2021-03-18 17:40:36,false,"Sydney Running","5.01","285","00:21:17","156","177","159","182","4:15","3:25","85","148","1.48","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:02.64","6","0.0","00:21:15","00:25:29","-6","97"
Running,2021-03-11 07:23:24,false,"Sydney Running","6.18","377","00:29:38","148","176","158","173","4:48","4:14","65","117","1.32","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:51.36","7","0.0","00:29:27","00:33:28","18","106"
Running,2021-03-08 06:36:38,false,"Sydney Running","5.08","329","00:24:24","154","174","158","171","4:48","3:59","34","74","1.32","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:19.53","6","0.0","00:24:22","00:27:05","44","109"
Running,2021-03-04 17:36:12,false,"Sydney Running","8.03","483","00:38:21","147","179","156","171","4:47","4:09","92","138","1.34","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:09.61","9","0.0","00:38:10","00:51:20","-13","104"
Running,2021-02-25 17:31:29,false,"Sydney Running","5.14","314","00:24:02","149","177","157","169","4:40","4:05","21","91","1.36","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:51.02","6","0.0","00:23:57","00:27:08","-14","81"
Running,2021-02-23 17:55:06,false,"Sydney Running","5.29","323","00:24:47","151","169","158","169","4:41","4:04","24","90","1.35","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:22.20","6","0.0","00:24:44","00:28:22","23","118"
Pool Swimming,2021-02-21 09:12:29,false,"Pool Swimming","1,250","249","00:34:29","--","--","--","--","2:04","1:08","--","--","0.00","0.0","0.0","0.0","0.0","0.0","631","87","24","0:00","0.0","0:00","No","00:15.90","14","0.0","00:25:51","00:34:44","--","--"
Running,2021-02-19 08:07:42,false,"Sydney Running","12.03","859","00:59:01","164","191","155","169","4:54","3:08","133","262","1.32","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:02.98","13","0.0","00:58:16","01:09:46","-75","108"
Running,2021-02-17 17:08:23,false,"Sydney Running","8.10","506","00:38:52","150","178","155","190","4:48","3:56","104","185","1.35","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:30.45","9","0.0","00:38:44","00:46:52","-202","-45"
Running,2021-02-12 16:28:29,false,"Sydney Running","8.01","567","00:38:13","166","193","156","174","4:46","3:17","125","164","1.34","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:06.86","9","0.0","00:37:57","00:53:55","-22","103"
Running,2021-02-09 18:36:19,false,"Queanbeyan Running","5.44","342","00:27:17","146","170","156","169","5:01","4:00","29","86","1.28","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","02:09.95","6","0.0","00:27:13","00:31:20","551","604"
